"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","KA1","KA2","MA1","MD1","OC1","OD1","REM","EQD"
"68817099999","2021-10-06T03:00:00","4","-33.9","18.4333333","2.0","CAPE TOWN PORTNET, SF","FM-12","99999","V020","170,1,N,0103,1","99999,9,9,N","999999,9,9,9","+0190,1","+0045,1","10146,1",,"240,M,+0279,1","240,N,+0158,1","99999,9,10133,1","2,1,001,1,+999,9",,"4,99,0190,1,999","SYN07068817 46/// /1720 10190 20045 30133 40146 52001 333 10279 20158 91037=",
"68817099999","2021-10-06T06:00:00","4","-33.9","18.4333333","2.0","CAPE TOWN PORTNET, SF","FM-12","99999","V020","130,1,N,0031,1","99999,9,9,N","999999,9,9,9","+0244,1","+0033,1","10158,1",,"240,N,+0146,1",,"99999,9,10146,1","2,1,008,1,+999,9",,"4,99,0062,1,999","SYN08068817 36/// /1306 10244 20033 30146 40158 52008 333 20146 91012 555 10279 91015=",
"68817099999","2021-10-06T09:00:00","4","-33.9","18.4333333","2.0","CAPE TOWN PORTNET, SF","FM-12","99999","V020","160,1,N,0062,1","99999,9,9,N","999999,9,9,9","+0258,1","+0033,1","10156,1",,"240,M,+0261,1","240,N,+0146,1","99999,9,10144,1","8,1,002,1,+999,9",,"4,99,0103,1,999","SYN07068817 46/// /1612 10258 20033 30144 40156 58002 333 10261 20146 91020=",
"68817099999","2021-10-06T12:00:00","4","-33.9","18.4333333","2.0","CAPE TOWN PORTNET, SF","FM-12","99999","V020","150,1,N,0057,1","99999,9,9,N","999999,9,9,9","+0282,1","+0092,1","10139,1",,"240,M,+0294,1","240,N,+0146,1","99999,9,10127,1","7,1,015,1,+999,9",,"4,99,0093,1,999","SYN08068817 36/// /1511 10282 20092 30127 40139 57015 333 10294 20146 91018 555 91014=",
"68817099999","2021-10-06T15:00:00","4","-33.9","18.4333333","2.0","CAPE TOWN PORTNET, SF","FM-12","99999","V020","170,1,N,0072,1","99999,9,9,N","999999,9,9,9","+0280,1","+0100,1","10123,1",,"240,M,+0298,1","240,N,+0277,1","99999,9,10111,1","7,1,010,1,+999,9",,"4,99,0144,1,999","SYN07068817 46/// /1714 10280 20100 30111 40123 57010 333 10298 20277 91028=",
"68817099999","2021-10-06T18:00:00","4","-33.9","18.4333333","2.0","CAPE TOWN PORTNET, SF","FM-12","99999","V020","160,1,N,0103,1","99999,9,9,N","999999,9,9,9","+0241,1","+0102,1","10121,1",,"120,M,+0298,1","120,N,+0239,1","99999,9,10109,1","8,1,002,1,+999,9",,"4,99,0165,1,999","SYN08068817 36/// /1620 10241 20102 30109 40121 58002 333 10298 20239 91032 555 91012=",
"68817099999","2021-10-06T21:00:00","4","-33.9","18.4333333","2.0","CAPE TOWN PORTNET, SF","FM-12","99999","V020","160,1,N,0093,1","99999,9,9,N","999999,9,9,9","+0239,1","+0081,1","10107,1",,"240,M,+0298,1","240,N,+0218,1","99999,9,10095,1","7,1,013,1,+999,9",,"4,99,0170,1,999","SYN07068817 46/// /1618 10239 20081 30095 40107 57013 333 10298 20218 91033=",
"68817099999","2021-10-07T00:00:00","4","-33.9","18.4333333","2.0","CAPE TOWN PORTNET, SF","FM-12","99999","V020","150,1,N,0041,1","99999,9,9,N","999999,9,9,9","+0279,1","+0045,1","10093,1",,"120,M,+0298,1","120,N,+0218,1","99999,9,10081,1","7,1,013,1,+999,9",,"4,99,0077,1,999","SYN08068817 36/// /1508 10279 20045 30081 40093 57013 333 10298 20218 91015 555 91009=",
"68817099999","2021-10-07T03:00:00","4","-33.9","18.4333333","2.0","CAPE TOWN PORTNET, SF","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","999999,9,9,9","+0161,2","+0079,1","10083,1",,"240,M,+0298,1","240,N,+0151,1","99999,9,10070,1","7,1,005,1,+999,9",,"4,99,0015,1,999","SYN07068817 46/// /0000 10161 20079 30070 40083 57005 333 10298 20151 91003=",
"68817099999","2021-10-07T06:00:00","4","-33.9","18.4333333","2.0","CAPE TOWN PORTNET, SF","FM-12","99999","V020","310,1,N,0015,1","99999,9,9,N","999999,9,9,9","+0191,1","+0079,1","10106,1",,"240,N,+0134,1",,"99999,9,10094,1","2,1,015,1,+999,9",,"4,99,0041,1,999","SYN08068817 36/// /3103 10191 20079 30094 40106 52015 333 20134 91008 555 10298 91010=",
